j,t,mu,f,delta f,GPD type,flavor
0,-0.01,2,2.918005522202229,0.1459002761101114,0,S
0,-0.1099999999999999,2,2.2977408074361847,0.1148870403718092,0,S
0,-0.21,2,1.863473561972776,0.0931736780986388,0,S
0,-0.31,2,1.5415125648387886,0.0770756282419394,0,S
0,-0.41,2,1.296538713928394,0.0648269356964197,0,S
0,-0.5099999999999999,2,1.105750953391388,0.0552875476695694,0,S
0,-0.61,2,0.9541017990694132,0.0477050899534706,0,S
0,-0.71,2,0.8314417118336904,0.0415720855916845,0,S
0,-0.8099999999999999,2,0.7307451476049582,0.0365372573802479,0,S
0,-0.91,2,0.6470223255747011,0.032351116278735,0,S
0,-1.0099999999999998,2,0.576644424301342,0.0288322212150671,0,S
0,-1.11,2,0.5169159782270072,0.0258457989113503,0,S
0,-1.21,2,0.4657970733805994,0.0232898536690299,0,S
0,-1.3099999999999998,2,0.4217183132403014,0.021085915662015,0,S
0,-1.41,2,0.3834546433042491,0.0191727321652124,0,S
0,-1.5099999999999998,2,0.3500374292055082,0.0175018714602754,0,S
0,-1.61,2,0.3206919723832274,0.0160345986191613,0,S
0,-1.71,2,0.2947923050427278,0.0147396152521363,0,S
0,-1.81,2,0.2718279547903314,0.0135913977395165,0,S
0,-1.91,2,0.2513791508216512,0.0125689575410825,0,S
0,-2.01,2,0.2330980817056218,0.011654904085281,0,S
0,-0.01,2,0.9737594458142852,0.0486879722907142,0,NS
0,-0.1099999999999999,2,0.7843991214783738,0.0392199560739186,0,NS
0,-0.21,2,0.6582261860779931,0.0329113093038996,0,NS
0,-0.31,2,0.5664502338225886,0.0283225116911294,0,NS
0,-0.41,2,0.4966044163530423,0.0248302208176521,0,NS
0,-0.5099999999999999,2,0.4414634240052749,0.0220731712002637,0,NS
0,-0.61,2,0.3966367420408745,0.0198318371020437,0,NS
0,-0.71,2,0.3593436233871682,0.0179671811693584,0,NS
0,-0.8099999999999999,2,0.3277475990544703,0.0163873799527235,0,NS
0,-0.91,2,0.3005871261019809,0.015029356305099,0,NS
0,-1.0099999999999998,2,0.2769643323907494,0.0138482166195374,0,NS
