x,t,mu,f,delta f,GPD type,flavor
0.39698492,-0.17,2.0,0.8536991139985278,0.2589736342191491,0,NS
0.42713568,-0.17,2.0,0.7550987281080024,0.2292448695488145,0,NS
0.45728643,-0.17,2.0,0.6591912340164223,0.2003428518357791,0,NS
0.48743719,-0.17,2.0,0.5669134176885019,0.1725442248959802,0,NS
0.51758794,-0.17,2.0,0.4790874068005869,0.1460876757535342,0,NS
0.54773869,-0.17,2.0,0.3964445817854616,0.1211943384573774,0,NS
0.57788945,-0.17,2.0,0.3197826056409056,0.0981237311821803,0,NS
0.6080402,-0.17,2.0,0.2500870670302463,0.077206264672533,0,NS
0.63819095,-0.17,2.0,0.1884265666928621,0.0588026428795884,0,NS
0.66834171,-0.17,2.0,0.1356482174453289,0.0432096890609133,0,NS
0.39698492,-0.65,2.0,0.6602027990011382,0.2016301771078024,0,NS
0.42713568,-0.65,2.0,0.5955820094709395,0.1820170824354739,0,NS
0.45728643,-0.65,2.0,0.5308892024599462,0.1624148554313529,0,NS
0.48743719,-0.65,2.0,0.4665744186699836,0.142942605668323,0,NS
0.51758794,-0.65,2.0,0.4031983324154042,0.1237513535133017,0,NS
0.54773869,-0.65,2.0,0.3414431323163507,0.1050462210849411,0,NS
0.57788945,-0.65,2.0,0.2821716639382475,0.0871112718651115,0,NS
0.6080402,-0.65,2.0,0.2264463254895793,0.0703082388625179,0,NS
0.63819095,-0.65,2.0,0.1754132172934036,0.055029684720167,0,NS
0.66834171,-0.65,2.0,0.1300742687839461,0.0416263718650433,0,NS
0.39698492,-1.38,2.0,0.4797347449853386,0.1516989732378105,0,NS
0.42713568,-1.38,2.0,0.4391879677505269,0.1390796004378008,0,NS
0.45728643,-1.38,2.0,0.3976014770245351,0.1262228151079247,0,NS
0.48743719,-1.38,2.0,0.3553284365911756,0.1131948979479876,0,NS
0.51758794,-1.38,2.0,0.3127746558068934,0.1000862325919556,0,NS
0.54773869,-1.38,2.0,0.2704324268079618,0.0870617286551354,0,NS
0.57788945,-1.38,2.0,0.2289267574863851,0.0743777721426439,0,NS
0.6080402,-1.38,2.0,0.1890237637922466,0.0623549076122896,0,NS
0.63819095,-1.38,2.0,0.1515521492357286,0.0513127578423604,0,NS
0.66834171,-1.38,2.0,0.1172592632970246,0.0415038855781112,0,NS
0.39698492,-0.34,2.0,0.6355442579447392,0.1954442214450603,0,NS
0.42713568,-0.34,2.0,0.560856296410642,0.1726635964464704,0,NS
0.45728643,-0.34,2.0,0.4900674853497585,0.151150687405308,0,NS
0.48743719,-0.34,2.0,0.4235928822765167,0.1310125286066441,0,NS
0.51758794,-0.34,2.0,0.361710093097112,0.1123019970913278,0,NS
0.54773869,-0.34,2.0,0.3045295133008786,0.0950447858904126,0,NS
0.57788945,-0.34,2.0,0.2521334991502237,0.0792938141139779,0,NS
0.6080402,-0.34,2.0,0.2047262717686653,0.065157366144493,0,NS
0.63819095,-0.34,2.0,0.1626370967343662,0.0527665098386472,0,NS
0.66834171,-0.34,2.0,0.1261542104128991,0.0422004237521647,0,NS
0.39698492,-1.24,2.0,0.4994797263002464,0.1600064053594989,0,NS
0.42713568,-1.24,2.0,0.4533850586307272,0.1449156099955395,0,NS
0.45728643,-1.24,2.0,0.4069248071655816,0.1299856231065657,0,NS
0.48743719,-1.24,2.0,0.3609301878180757,0.1154326346340366,0,NS
0.51758794,-1.24,2.0,0.3160656921129596,0.1013917000409856,0,NS
0.54773869,-1.24,2.0,0.272897272147144,0.087995117890389,0,NS
0.57788945,-1.24,2.0,0.2319855969240979,0.0754204381402385,0,NS
0.6080402,-1.24,2.0,0.1939425063369169,0.0638819176475433,0,NS
0.63819095,-1.24,2.0,0.1593887495513746,0.0535728655813518,0,NS
0.66834171,-1.24,2.0,0.1288326730889188,0.0446050216605491,0,NS
0.39698492,-0.81,2.0,0.5637253376179221,0.1732728462607346,0,NS
0.42713568,-0.81,2.0,0.4997089549766901,0.1536833380240942,0,NS
0.45728643,-0.81,2.0,0.4373732778805229,0.1346720964771608,0,NS
0.48743719,-0.81,2.0,0.3776721199751566,0.1165187317131545,0,NS
0.51758794,-0.81,2.0,0.321304572688294,0.0994176692777966,0,NS
0.54773869,-0.81,2.0,0.2687638800591795,0.0835173012828256,0,NS
0.57788945,-0.81,2.0,0.2204811101622029,0.0689707906513195,0,NS
0.6080402,-0.81,2.0,0.1769545961633458,0.0559650699107376,0,NS
0.63819095,-0.81,2.0,0.1387147920861459,0.0446961340959321,0,NS
0.66834171,-0.81,2.0,0.1061718365925409,0.0352892642269796,0,NS
0.39698492,-0.17,2.0,0.6421288786104973,0.2371366197740531,1,NS
0.42713568,-0.17,2.0,0.4988744494234871,0.1957438126046175,1,NS
0.45728643,-0.17,2.0,0.3787610528526806,0.1614599584552233,1,NS
0.48743719,-0.17,2.0,0.2790662311754159,0.1332349020061186,1,NS
0.51758794,-0.17,2.0,0.1975537314047184,0.1099785308432399,1,NS
0.54773869,-0.17,2.0,0.1318278257010901,0.0908393821033463,1,NS
0.57788945,-0.17,2.0,0.0794587512694654,0.0754408964012059,1,NS
0.6080402,-0.17,2.0,0.0383897982139742,0.0638085381439487,1,NS
0.63819095,-0.17,2.0,0.007150423109459,0.0558385695363007,1,NS
0.66834171,-0.17,2.0,-0.0153597619447917,0.0508285728074794,1,NS
0.39698492,-0.65,2.0,0.5599917640516073,0.1875547805144825,1,NS
0.42713568,-0.65,2.0,0.4722092657181012,0.1600554545233304,1,NS
0.45728643,-0.65,2.0,0.3950945486328133,0.1357154913354092,1,NS
0.48743719,-0.65,2.0,0.3275264380458988,0.1142372138581479,1,NS
0.51758794,-0.65,2.0,0.2685761018391598,0.0953593619781891,1,NS
0.54773869,-0.65,2.0,0.2172321613861871,0.0789109543200514,1,NS
0.57788945,-0.65,2.0,0.1725009016715405,0.0648815420074033,1,NS
0.6080402,-0.65,2.0,0.1336236333639986,0.0533849556106756,1,NS
0.63819095,-0.65,2.0,0.1001538721500772,0.0444762428058281,1,NS
0.66834171,-0.65,2.0,0.0718020492783735,0.0379297413594917,1,NS
