j,t,mu,f,delta f,GPD type,flavor
0,-0.17,2,2.270734,0.3461658602052889,0,S
0,-0.65,2,1.340932,0.2046901858431051,0,S
0,-1.38,2,0.7800318,0.12981256336383357,0,S
0,-2.29,2,0.4574632,0.13312636275614384,0,S
0,-0.34,2,1.792254,0.2731930076607285,0,S
0,-0.81,2,1.09533,0.16873781160850373,0,S
0,-1.52,2,0.5682744,0.09594205368861561,0,S
0,-1.24,2,0.7346491,0.11679758727524865,0,S
0,-0.69,2,1.308292,0.1986989465037155,0,S
0,-1.38,2,0.6922986,0.10666113925833766,0,S
0,-2.77,2,0.3500663,0.055945772619927454,0,S
1,-0.17,2,0.492273,0.07676902615577522,0,S
1,-0.65,2,0.3834299,0.06049461542199624,0,S
1,-1.38,2,0.2722512,0.04616722286876805,0,S
1,-2.29,2,0.2116517,0.05695710470461191,0,S
1,-0.34,2,0.4104237,0.06444727577050037,0,S
1,-0.81,2,0.3122573,0.048887241245041894,0,S
1,-1.52,2,0.2115152,0.03662419072294294,0,S
1,-1.24,2,0.2490443,0.041378241688602775,0,S
1,-0.69,2,0.371866,0.05796256705045852,0,S
1,-1.38,2,0.2435937,0.03928790673114979,0,S
1,-2.77,2,0.1600627,0.027624183028406923,0,S
2,-0.17,2,0.1614467,0.026327646338258664,0,S
2,-0.65,2,0.1210397,0.019472392982606654,0,S
2,-1.38,2,0.0882172,0.01612071244708499,0,S
2,-2.29,2,0.0740969,0.023208234957743448,0,S
2,-0.34,2,0.1379742,0.022606602600763807,0,S
2,-0.81,2,0.106461,0.018489456227650098,0,S
2,-1.52,2,0.0712112,0.01573194484819026,0,S
2,-1.24,2,0.0890284,0.016992154340977485,0,S
2,-0.69,2,0.1252693,0.02219972414755699,0,S
2,-1.38,2,0.0820905,0.013882432127410563,0,S
2,-2.77,2,0.0449103,0.00836775575481437,0,S
3,-0.17,2,0.0711979,0.01724186607160968,0,S
3,-0.65,2,0.0595074,0.014304067858291221,0,S
3,-1.38,2,0.0493509,0.012593885960581228,0,S
3,-2.29,2,0.0333304,0.01172410448616439,0,S
3,-0.34,2,0.0601705,0.014211345429505435,0,S
3,-0.81,2,0.0503166,0.012101203301965843,0,S
3,-1.52,2,0.0376799,0.010131715443875533,0,S
3,-1.24,2,0.0427163,0.012327583627496712,0,S
3,-0.69,2,0.0522792,0.012774000127481602,0,S
3,-1.38,2,0.0424181,0.009079708807424662,0,S
3,-2.77,2,0.0290619,0.008114928554987159,0,S
4,-0.17,2,0.03125,0.010139508881189512,0,S
4,-0.65,2,0.0215864,0.0062475117839889665,0,S
4,-1.38,2,0.0150747,0.009344691810982853,0,S
4,-2.29,2,0.0179861,0.014544474015612424,0,S
4,-0.34,2,0.0262133,0.007054314061959603,0,S
4,-0.81,2,0.019276,0.008869663718681786,0,S
4,-1.52,2,0.018995,0.011714941656337859,0,S
4,-1.24,2,0.0159995,0.007652806080335826,0,S
4,-0.69,2,0.0136373,0.011874433142349365,0,S
4,-1.38,2,0.0119052,0.005041025449529093,0,S
4,-2.77,2,0.0030823,0.0046896963464093284,0,S
0,-0.17,2,0.8511698,0.13218554540381977,0,NS
0,-0.65,2,0.6070662,0.09452985958126564,0,NS
0,-1.38,2,0.3958998,0.067828159834495,0,NS
0,-2.29,2,0.2657264,0.0817653702609124,0,NS
