j,t,mu,f,delta f,GPD type,flavor
1,-0.0,2.0,0.5081826080700461,0.16170841506059813,0,g
1,-0.07243,2.0,0.4841499035896999,0.14847368971406194,0,g
1,-0.1346,2.0,0.4097225973819328,0.12500355163396767,0,g
1,-0.15917,2.0,0.4165350127558783,0.12742926479608493,0,g
1,-0.22949,2.0,0.3709390600347713,0.11272745605592456,0,g
1,-0.32197,2.0,0.3476693864064415,0.10666038217418843,0,g
1,-0.3698,2.0,0.3318376903344746,0.10223292431447707,0,g
1,-0.39046,2.0,0.3260832676307082,0.10020226293668151,0,g
1,-0.40113,2.0,0.3151638961216095,0.09613222441814077,0,g
1,-0.43566,2.0,0.3133861713921553,0.09680437944892238,0,g
1,-0.46266,2.0,0.2865260422294812,0.08781164752600877,0,g
1,-0.47997,2.0,0.2909525014963597,0.08887396387282599,0,g
1,-0.55957,2.0,0.2521322618887864,0.0833332825971919,0,g
1,-0.6224,2.0,0.2539271308708951,0.0782301994650203,0,g
1,-0.6557,2.0,0.2391713829984828,0.073797866276775,0,g
1,-0.69324,2.0,0.2333450236885795,0.07226442008514769,0,g
1,-0.71799,2.0,0.2556196762300329,0.07793027902495774,0,g
1,-0.77357,2.0,0.2102522154641469,0.06499418309624154,0,g
1,-0.80739,2.0,0.2280628026606914,0.07003358627818167,0,g
1,-0.87219,2.0,0.21912467324019,0.06712234166670565,0,g
1,-0.9629,2.0,0.1906003259673848,0.059698776915791195,0,g
1,-1.03655,2.0,0.1741801985120784,0.053735803924927876,0,g
1,-1.08181,2.0,0.1647201762690405,0.05223330852736759,0,g
1,-1.11762,2.0,0.1695750646989409,0.0518623856119864,0,g
1,-1.20675,2.0,0.1861554962039577,0.07761518565305177,0,g
1,-1.29818,2.0,0.1378279086865304,0.04433525190992545,0,g
1,-1.36023,2.0,0.1440894290163221,0.04401803560077721,0,g
1,-1.43519,2.0,0.1338496611108713,0.04152479946203045,0,g
1,-1.51747,2.0,0.1333854376068192,0.04233869288827729,0,g
